Study,experimental_events,experimental_total,control_events,control_total, Cofactor
Lips, 135, 1291, 122, 1287, 54,
Lyons, 202, 1725, 209, 1715, 80,
Trivedi , 43, 1345, 62, 1341, 74.3,
Chapuy, 255, 1176, 308, 1127, 106,
Chapuy, 97, 393, 55, 190, 77.5,
Dawson-Hughes, 11, 187, 26, 202, 112,
Grant, 349, 2649, 341, 2643, 62,
Harwood, 8, 114, 5, 37, 44,
Jackson, 2102, 18176, 2158, 18106, 61.4,
Meyer, 69, 569, 76, 575, 64,
Pfeifer , 3, 70, 6, 67, 66.1,
Pfeifer , 9, 121, 16, 121, 84.5,
Salovaara, 78, 1586, 94, 1609, 74.6,
Sanders, 171, 1131, 135, 1125, 65,
